token_address,name,symbol,decimals,rpc_block_number,fetched_at,fetch_status,error_code
0x80941467df667bfdad333d4dc3527713a620df3c,ChatGPT,ChatGPT,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x82e7d9afccb8f6e06812c4f2c3e1852e655b8244,SEAL,SEALANA,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x83d473d1acd97aa45a97c3b778fb5714e7e4c604,DeepSeek AI,DEEPSEEK AI,8,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x85bea4ee627b795a79583fcede229e198aa57055,Marvin Inu,Marvin,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x8ab448a98840f13e38e1a25328abe3eba190809b,Samsung Metaverse,Samsung,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x8c2de711cac01e89e8e70616f9a39f2047494476,vitalik.eth,Vitalik.eth,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x8c98a7884e2fdf0b1cb19d4b52ab6cd44e879c80,Relay,<3,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x906cc2ad139eb6637e28605f908903c8adce566a,Pepe Unchained,PEPU,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x94592deb4ca432273ffd4fcd9fe177fe98bcd793,$ USDCFree.com - Visit to claim Token,$ USDCFree.com - Visit to claim,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x9500735a641ea837a589d3c64679e5ba19cf8af0,Gota,Gota,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x95ed124fe31c30d456445eaa08a2ce46c7f6fb1a,MEME Coin 2.0,MC,6,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x9ac9468e7e3e1d194080827226b45d0b892c77fd,Yee Token,Yee,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x9b4109cfbf22348260db8d36780554d7fd3898ff,Subway Metaverse,Subway,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x9cde7597921959b7b2ccad98d8b203b282978875,0xSec,0xSec,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0x9de332f0a373ec81f9352a819f9970092858f621,Pepe Unchained,PEPU,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xa1ccf190344a9b4b4138e7e7acca11665b446104,Vitalik Pool Party,POOL,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xac0c82d66858e2d6a28bccd1f9fc0e4ae0f4f9d2,To Vitalik,2Vitalik,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xae42f183554d369ee98b7b1980bea3761f47abc3,Ten Commandments,CMD,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xb11cb9f81b5dfc484f31dc892b3a699d413bd83c,CNN,CNN,8,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xb3912b20b3abc78c15e85e13ec0bf334fbb924f7,Hana,HANA,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xb8bcf07d623517e7c09f7c2e4216150a16e8a418,$ USDCFree.com - Visit to claim Token,$ USDCFree.com - Visit to claim,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xbb5c3b198f6def369bfb6ac7a34bb08ea49a0770,Nansen AI,NANSEN AI,8,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xbfece98154ee14b88082cfb2c0f3e558d70bb819,Foxy,Foxy,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xc15a0f62da58dae595da8726cae214364bc1d5df,VitalikShiba,VITALIKSHIBA,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xc28b054b89c437525cc3223ceeca5a7a2dcdb18d,Vitalik Mr F was here,VMRF,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xc4e0bc423b7478ca9e82f9c4c7a2fd56ccd1d206,SEALANA,SEAL,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xd1689132dcc04406c9c98a8d555f452c8a96c8bd,BullRun,BullRun,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xd520b35e6718e36da291e17653ebe73ccbda24f9,$ USDCFree.com - Visit to claim Token,$ USDCFree.com - Visit to claim,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xe0797ec1d0bb0bec541a82c5262c3b0f93f68bfe,JOKER,JOKER,15,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xe11733a9c69077bd2885d3910fa3905cd1a856af,BlockDAG,BDAG,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xe118caca24ec765c6e0b659acfa2757a432fa73a,Piss Vb,PVB,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xe1e49f82cc3427e058be0fda0d1fcae8ddf3f504,Fuck SBF,Fuck SBF,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xe6a2306a93b04a6a29ba40345110b4383720fe39,STARS,STARS,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xe81c4a73bfddb1ddadf7d64734061be58d4c0b4c,Pesto The Baby King Penguin,PESTO,9,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xebc47d02ac3555ca27e79ee2fc9fa1748e6f488f,NVIDIA AI,NVIDIA AI,8,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xed5254a911e0feb74b8f0f4212562f9bd51de195,Scroll,SCR,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xef6c8cd186525b7d3577d409ec1fcd7150b8c41e,Bonk,BONK,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xf0bc4437e5161fa674e74893ac4a141f5acf11e8,Core,CORE,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xf1ba53a774fa7e6f4e0118dbfc60798bcbbc3447,For The People,FTP,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xf3ff0925c34dbc6bf48007aa14a4851af2110eb5,Ethereum2.0,ETH2.0,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xf5c6e17e6cbd61b4a3d2ce321161ef4bdad2c12f,Riot Games,Riot,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xf84ea569eaaebd634cac7944058f1b17386aa56e,VoteFork.com,VOTEFORK.COM,0,25510521,2026-07-11T16:19:22.180966+00:00,complete,
0xfbe431c764651244e3d161ab38cc77c6b80e1aeb,EveOneCat,EveOneCat,18,25510521,2026-07-11T16:19:22.180966+00:00,complete,
