chain_id,address,account_type,code_state,code_size_bytes,observation_block_number,observation_block_hash,observation_block_timestamp,finality_policy,eip7702_delegation_target,fetch_status,reason_code,evidence_schema_version,fetched_at
1,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,contract,contract_code,6889,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xaded0d42345e10494776f04c195c77c5feda19c7,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xb1d12c0cfc5eda37e24f8255c3d86e0054dac40a,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xc23da3ca9300571b9cf43298228353cbb3e1b4c0,contract,contract_code,170,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xc23da4243de58055ea2f7d7c142390e7afaab4c0,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xc6d4ab7043f59dd9bfac40ebe10eecdc2b95ab08,contract,contract_code,170,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xcd42b4c4d102cc22864e3a1341bb0529c17fd87d,contract,contract_code,171,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xcfbc67429109def50758fb79f15fee6bae817e92,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xcfd374ba3996ae34cabf97b43857b0c54f131d4f,contract,contract_code,171,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xd73b03f1ea390feb20d879e4dfb83f1245c8d4be,contract,contract_code,170,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,contract_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xe605435fa66bd8aa8851b4c6bd835d121c381c12,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xed1a388386a67ecd4612b4be8faa0626cac3b03c,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xed322b33b005b9c65ba876506dba22c7b47f0c01,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xfb82fbeb335848ac7563219c2bebed07e5291475,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
1,0xfe13ed997281425cfbebd0176cd18c62a70be66e,eoa_candidate,no_code,0,25739638,0x4da5bc7004c57265498f2e88d86d65632b5c64c47f6143a2f1d7d6659a5fa834,2026-08-12T14:53:11Z,safe,,complete,no_code_observed,account-evidence-v2,2026-08-12T15:03:35.371392Z
