chain_id,block_number,block_hash,block_timestamp,transaction_hash,transaction_index,transaction_from_address,transaction_to_address,log_index,token_address,from_address,to_address,value_raw
1,15710978,0x7f2e9beb8f2e302b1660d5ad233a027dd9c6fbcb98376ebdd917cd6f6cc7b670,1665323819,0x27ce28b4ba07be02e1550b8f213b3c9f4435c7fee0a41e64717f9219b34c455f,79,0x00b4c83e2bfeba4e01a8623d5c379258352a733b,0x11c24f0031b4c35e2e9353764edc61299291e0af,66,0x6b175474e89094c44da98b954eedeac495271d0f,0x11c24f0031b4c35e2e9353764edc61299291e0af,0xb1d12c0cfc5eda37e24f8255c3d86e0054dac40a,2000000000000000000000
1,15711455,0x102367212b30461f63af66ada290ffd7acd91f8c09111f4b1c00563cbc125507,1665329579,0x700302a8f57c1bbab706dc131e427cec76acd5ff2b014a5c41498e0800228ab9,100,0xa727c953ffe3e461573736fde77d20cfdce9fca3,0xa7ac9f7087d7197e0047db9a90562a1364bf897d,214,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,0xa7ac9f7087d7197e0047db9a90562a1364bf897d,0x11c24f0031b4c35e2e9353764edc61299291e0af,2762430940000000000000
1,15720673,0x5420932bb1031bd7d41eca9b84bbb11791087079d4f6f2e16808a3ebe420742e,1665440759,0x39889ee6f36d64e23b52095263cc185a229ab9766dfd819ad2f11a321ef0d99d,134,0x4c18bd7117f0e694b0f4fdfe6a03f520ec5905c7,0x11c24f0031b4c35e2e9353764edc61299291e0af,183,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,0x11c24f0031b4c35e2e9353764edc61299291e0af,0x06b1655b9d560de112759b4f0bf57d6f005e72fe,2762000000000000000000
1,15720673,0x5420932bb1031bd7d41eca9b84bbb11791087079d4f6f2e16808a3ebe420742e,1665440759,0x39889ee6f36d64e23b52095263cc185a229ab9766dfd819ad2f11a321ef0d99d,134,0x4c18bd7117f0e694b0f4fdfe6a03f520ec5905c7,0x11c24f0031b4c35e2e9353764edc61299291e0af,185,0x6b175474e89094c44da98b954eedeac495271d0f,0x60594a405d53811d3bc4766596efd80fd545a270,0x11c24f0031b4c35e2e9353764edc61299291e0af,4719459887529021287960
1,15720737,0x7ad46df536c2c172e1e1df44116c714776edaa56dfd22317e14aa8da61dcd619,1665441527,0xe854ae470f4425a79dcc3391659d52670cec626ceda8cecfd363f8643490b839,107,0x4c18bd7117f0e694b0f4fdfe6a03f520ec5905c7,0x11c24f0031b4c35e2e9353764edc61299291e0af,213,0x6b175474e89094c44da98b954eedeac495271d0f,0x11c24f0031b4c35e2e9353764edc61299291e0af,0xed322b33b005b9c65ba876506dba22c7b47f0c01,4308000000000000000000
1,15727669,0x5b28129390f62e29be54eb853b8948be0d4b4f37b125e2bd8d01bfc2db7db46c,1665525095,0x48f905110ea00769250495b5f3c7fba14fa968e81f996d3a271bb1e6ac0bf4d8,125,0x380efd7076f9cad6f3129c46de677f1f6c95135a,0x16e46dec73c0d372b461718869fba264ec08b137,180,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x16e46dec73c0d372b461718869fba264ec08b137,0x11c24f0031b4c35e2e9353764edc61299291e0af,12000000000
1,15732567,0x167b680601ed39f3d9e7fef473b5ddc83c8e67d32b47788cc59d6d7c7ed5b43a,1665584195,0xb0c6e72adba9ff1d91ddc44812425bb6a95cdcfb4d34bf81f820ce2a0947eb6f,221,0x4c18bd7117f0e694b0f4fdfe6a03f520ec5905c7,0x11c24f0031b4c35e2e9353764edc61299291e0af,379,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x11c24f0031b4c35e2e9353764edc61299291e0af,0xb1d12c0cfc5eda37e24f8255c3d86e0054dac40a,9416600000
1,15732889,0x177061a6ca5e1bccf1883df12c8a6127655405f32d776480c66a2157d1141472,1665588107,0x75768576d94e673605f2e8087dfe28e098f15da8992270751da353836e68a648,182,0x00b4c83e2bfeba4e01a8623d5c379258352a733b,0x11c24f0031b4c35e2e9353764edc61299291e0af,379,0x6b175474e89094c44da98b954eedeac495271d0f,0x5777d92f208679db4b9778590fa3cab3ac9e2168,0x11c24f0031b4c35e2e9353764edc61299291e0af,2583111217282843996520
1,15732889,0x177061a6ca5e1bccf1883df12c8a6127655405f32d776480c66a2157d1141472,1665588107,0x75768576d94e673605f2e8087dfe28e098f15da8992270751da353836e68a648,182,0x00b4c83e2bfeba4e01a8623d5c379258352a733b,0x11c24f0031b4c35e2e9353764edc61299291e0af,380,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x11c24f0031b4c35e2e9353764edc61299291e0af,0x5777d92f208679db4b9778590fa3cab3ac9e2168,2583400000
1,15732936,0x7b575cf204ead852d1d09d03daf105f626b82d9240292dd631e14ced28ed5bd3,1665588671,0xcbeaebf4ed620af9169586f9274574e073e57a74733cd09611fc29d20ed811a8,81,0x00b4c83e2bfeba4e01a8623d5c379258352a733b,0x11c24f0031b4c35e2e9353764edc61299291e0af,137,0x6b175474e89094c44da98b954eedeac495271d0f,0x11c24f0031b4c35e2e9353764edc61299291e0af,0x6c17830df079bf409d3da9731aae7e6b632ebfcd,3161000000000000000000
1,15734744,0x83b69a447848ed660762f3aff056fd682fabe30c501a33caae1da68d8517c3c7,1665610463,0x5a8fa6bb07500bc4282667f22adf29dd27d3856f5d4b7ad6d75350d6ca039971,120,0x61a3cf8788b65b4967a20523bbc56e651f0dd156,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,968,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x61a3cf8788b65b4967a20523bbc56e651f0dd156,0x11c24f0031b4c35e2e9353764edc61299291e0af,10000000
1,15734978,0x25756b88d16783b8d9bce6c4eda44151d8fea8a1d645b0d50f2c6857076c2387,1665613271,0x5cd2253cae4c97211c86165e2fad1b51d6750ef456def73031145c8af903421e,58,0x61a3cf8788b65b4967a20523bbc56e651f0dd156,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,89,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x61a3cf8788b65b4967a20523bbc56e651f0dd156,0x11c24f0031b4c35e2e9353764edc61299291e0af,34990000000
1,15741051,0x3af12670bdc148526614b376fc1ac58b63c6591bc4800e66f47a3a7928848636,1665686543,0x48de7ebdc9b694abb1d50f0cc4707bef8481a8cdf192dcedde68ede7a1330b06,99,0x4c18bd7117f0e694b0f4fdfe6a03f520ec5905c7,0x11c24f0031b4c35e2e9353764edc61299291e0af,250,0x6b175474e89094c44da98b954eedeac495271d0f,0x5777d92f208679db4b9778590fa3cab3ac9e2168,0x11c24f0031b4c35e2e9353764edc61299291e0af,34996177638246629387622
1,15741051,0x3af12670bdc148526614b376fc1ac58b63c6591bc4800e66f47a3a7928848636,1665686543,0x48de7ebdc9b694abb1d50f0cc4707bef8481a8cdf192dcedde68ede7a1330b06,99,0x4c18bd7117f0e694b0f4fdfe6a03f520ec5905c7,0x11c24f0031b4c35e2e9353764edc61299291e0af,251,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x11c24f0031b4c35e2e9353764edc61299291e0af,0x5777d92f208679db4b9778590fa3cab3ac9e2168,35000000000
1,15741126,0x21ab817247f36ccf7de7b6887f993f2026bb2b5832b3138a744964957daad139,1665687455,0xec416a019083f18269e4ecd68beef24295c833ec4091d263bc3b078f2a9697c6,96,0x4c18bd7117f0e694b0f4fdfe6a03f520ec5905c7,0x11c24f0031b4c35e2e9353764edc61299291e0af,228,0x6b175474e89094c44da98b954eedeac495271d0f,0x11c24f0031b4c35e2e9353764edc61299291e0af,0x6c17830df079bf409d3da9731aae7e6b632ebfcd,9424000000000000000000
1,15741516,0x904d19827e4d9f7518dc33e77d6a049ad89a1d050e1222923069f4aba163311b,1665692183,0x2ed67fa970b63f69bb743123803a357ff2c3a52ade4ddbe3f63067ac5f5a0f99,67,0x4c18bd7117f0e694b0f4fdfe6a03f520ec5905c7,0x11c24f0031b4c35e2e9353764edc61299291e0af,204,0x6b175474e89094c44da98b954eedeac495271d0f,0x11c24f0031b4c35e2e9353764edc61299291e0af,0x9c571af5eb3afd528acbca7b6c3bc95b57acef07,15860000000000000000000
